	Date	Open	High	Low	Close	Adj Close	Volume	EMA_50	EMA_14	EMA_8	RSI	K	D	ATR_14	RSI_indicator	Candle_indicator	EMA_indicator	Indicator	Entry	Target	StopLoss	Exit Row	Bought	Outcome	Initial Money (£)	N_shares_purchased	Purchase_total_inc_fees	N_shares_sold	Sales_total_inc_fees	Profit/Loss on Sales (£)	Row Balance (£)	Final Money (£)
1638	2020-12-08 12:00:00+00:00	283.04998779296875	283.04998779296875	280.0	280.0	280.0	46686	278.488303223235	282.87900005519305	282.8348613218728	47.26332420789196	0.0	1.4309800472974816	5.717677525111607	Short	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1639	2020-12-08 13:00:00+00:00	283.0	283.0	280.0	282.4800109863281	282.4800109863281	18689	278.644840782572	282.82580151267774	282.75600569175174	53.23700322793293	6.996242074684834	2.7141967555722655	5.503391810825893	Long	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1640	2020-12-08 14:00:00+00:00	282.4800109863281	282.4800109863281	279.0	281.0	281.0	11779	278.73719996756915	282.5823613109874	282.3657822046958	49.6243988112596	11.105073390120575	6.033771821601813	4.823392595563616	Long	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1641	2020-12-08 15:00:00+00:00	280.0	281.0	278.0	280.0	280.0	19987	278.78672153746845	282.2380464695224	281.8400528258745	47.28938108317552	11.156375819957482	9.75256376158764	4.351963588169643	Long	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1642	2020-12-08 16:00:00+00:00	280.6700134277344	280.6700134277344	274.0	274.0	274.0	49705	278.5990069673717	281.13964027358605	280.09781886456904	36.263747806540586	4.1601337452726375	8.807194318450241	4.114107404436384	Short	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1643	2020-12-09 08:00:00+00:00	285.0	285.0	275.989990234375	279.7799987792969	279.7799987792969	1338	278.64532037176093	280.95835474101415	280.027192178953	48.67763406488505	14.915709962240639	10.077406509156928	4.5426788330078125	Long	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1644	2020-12-09 09:00:00+00:00	278.0	283.38751220703125	277.1000061035156	283.38751220703125	283.38751220703125	97052	278.83128867902644	281.2822424031498	280.7739299629704	54.61868418460974	37.539915971854775	18.871919893122694	4.698931012834821	Long	Long	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1645	2020-12-09 10:00:00+00:00	281.0	286.70001220703125	280.0	284.5	284.5	79704	279.05359108377047	281.71127674939646	281.6019455267547	56.29873544462431	62.29094326576987	38.2488563999551	5.020359584263393	Long	Long	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1646	2020-12-09 11:00:00+00:00	285.0	286.70001220703125	281.0	283.0799865722656	283.0799865722656	68555	279.21148894606443	281.8937713924457	281.9303990924238	53.57246486083752	68.80955507794572	56.21347143852346	5.221073695591518	Long	Long	Long	Long							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1647	2020-12-09 12:00:00+00:00	283.0799865722656	287.0	283.0	287.0	287.0	216945	279.5169207521011	282.57460187345293	283.05697707188517	59.415168425053324	76.04461704526564	69.04837179632709	5.300358363560268	Long	Long	Long	Long	Long	293.52	267.42	1699.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1648	2020-12-09 13:00:00+00:00	286.0	289.0	286.0	288.70001220703125	288.70001220703125	55758	279.8770419856278	283.3913232512634	284.3109848796954	61.66809871849296	84.595344346532	76.48317215658112	4.926967075892857	Long	Long	Long	Long	Long	296.6	270.1	1703.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1649	2020-12-09 14:00:00+00:00	286.8999938964844	290.0	283.0	284.0	284.0	93705	280.0387266136424	283.47248015109494	284.241877128652	52.92135172220955	85.0689536471816	81.90297167965976	5.2062530517578125	Long	Short	Long	-	Long	296.75	272.12	1703.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1650	2020-12-09 15:00:00+00:00	288.5799865722656	289.0	283.0	285.0	285.0	73630	280.23328635428385	283.6761494642823	284.4103488778404	54.40320769363352	78.95937170095891	82.87455656489085	5.349110194614956	Short	Long	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1651	2020-12-09 16:00:00+00:00	284.6000061035156	286.0	282.0	282.0	282.0	66875	280.3025692423512	283.4526628690447	283.8747157938759	49.38149164416446	62.86955569992873	75.6326270160231	5.2062530517578125	Short	Short	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1652	2020-12-10 08:00:00+00:00	285.0	285.6000061035156	281.79998779296875	282.8999938964844	282.8999938964844	7799	280.40442903270934	283.3789736727033	283.65811092778887	50.847302699821846	60.148172750506625	67.32570005046476	5.25982666015625	Short	Short	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1653	2020-12-10 09:00:00+00:00	283.20001220703125	285.6000061035156	282.70001220703125	282.8511047363281	282.8511047363281	11396	280.50037709951795	283.3085911478533	283.4787762185754	50.76131047775611	55.36959862817134	59.46244235953557	5.252683367047991	Short	Short	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1654	2020-12-10 10:00:00+00:00	282.70001220703125	284.70001220703125	280.0	284.6578063964844	284.6578063964844	40116	280.66341354253626	283.4884865143374	283.74078292477736	53.866353254350265	61.25423577258497	58.92400238375433	5.339826311383929	Long	Long	Long	Long							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1655	2020-12-10 11:00:00+00:00	282.79998779296875	284.70001220703125	282.0	282.0	282.0	163531	280.71582869773096	283.2900216457591	283.35394227482686	48.9736880949203	58.795845066999135	58.47322648925183	5.318398611886161	Long	Short	Long	-	Long	293.48	266.78	1699.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1656	2020-12-10 12:00:00+00:00	282.0	283.79998779296875	278.0	278.0	278.0	155374	280.6093256115454	282.58468542632454	282.16417732486536	42.68923329114375	39.77343072878613	53.274503856123424	5.256253923688616	Short	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1657	2020-12-10 13:00:00+00:00	280.0	280.0	277.0	277.0	277.0	21138	280.4677834307005	281.8400607028146	281.01658236378415	41.26363561728814	16.676854990221194	38.41537692866883	4.684825352260044	Short	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1658	2020-12-10 14:00:00+00:00	278.0	279.489990234375	275.0	278.70001220703125	278.70001220703125	103587	280.39845906898796	281.42138757004346	280.50178899561683	44.64779106250905	5.528456247432584	20.65958065547998	4.556431361607143	Short	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1659	2020-12-10 15:00:00+00:00	276.0	278.70001220703125	275.0	278.0	278.0	74696	280.30440185059626	280.96520256070437	279.94583588547977	43.53548354744996	9.239814099051614	10.481708445568474	4.342145647321429	Short	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1660	2020-12-10 16:00:00+00:00	278.0	279.0	275.0	277.0	277.0	79296	280.17481746429837	280.4365088859438	279.2912056887065	41.92849337332137	10.32594535823673	8.364738568240318	4.220716203962054	Long	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1661	2020-12-11 08:00:00+00:00	282.0	282.0	276.06988525390625	279.25	279.25	18730	280.13855011275723	280.2783077011513	279.28204886899397	46.696055875193785	13.672051228188602	11.079270228492325	4.35858154296875	Long	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1662	2020-12-11 09:00:00+00:00	277.0	279.25	274.0133056640625	276.2650146484375	276.2650146484375	61763	279.9866467612153	279.7432019607894	278.6115968199814	41.7938651070224	11.305814528292137	11.767937038239166	4.518345424107143	Short	Short	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1663	2020-12-11 10:00:00+00:00	276.29998779296875	279.0	274.0133056640625	276.1000061035156	276.1000061035156	95916	279.83422948052123	279.2574425131529	278.05346554965564	41.53428841364047	10.906293139351767	11.961386298610845	4.374537876674107	Short	Short	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1664	2020-12-11 11:00:00+00:00	275.04998779296875	283.0	275.0	283.0	283.0	83750	279.9583773440302	279.75645017806585	279.1526954275099	54.31267092022905	35.36506435530063	19.192390674314854	4.51739501953125	Long	Long	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1665	2020-12-11 12:00:00+00:00	279.0	284.0	278.1499938964844	284.0	284.0	43771	280.1168723501467	280.3222568209904	280.2298742213966	55.819759224234666	67.3532765369114	37.87487801052128	4.649538312639509	Long	Long	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1666	2020-12-11 13:00:00+00:00	282.8500061035156	284.0	280.0	282.0	282.0	64147	280.1907204932782	280.545955911525	280.62323550553066	52.116908097053376	91.52051918224022	64.74628669148409	4.663822719029018	Long	Long	Long	Long							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1667	2020-12-11 14:00:00+00:00	283.0	286.1700134277344	280.0	283.0	283.0	78219	280.30088831707127	280.8731617899884	281.15140539319054	53.76827317360114	86.82264286564885	81.89881286160016	4.897395542689732	Long	Long	Long	Long	Long	292.33	269.01	1699.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1668	2020-12-11 15:00:00+00:00	282.82000732421875	283.0	280.0	281.0	281.0	66095	280.32830446149984	280.89007355132327	281.1177597502593	50.05049107503417	73.61109400143688	83.98475201644199	4.775966099330357	Short	Short	Long	-	Long	292.61	268.13	1699.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1669	2020-12-11 16:00:00+00:00	282.4800109863281	283.0	279.1000061035156	281.0	281.0	81104	280.35464546300966	280.90473041114683	281.09159091686837	50.050491075034174	68.8790259549847	76.43758760735682	4.8616790771484375	Short	Short	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1670	2020-12-14 08:00:00+00:00	284.1400146484375	287.0	280.55999755859375	280.55999755859375	280.55999755859375	11689	280.3626984863659	280.8587660308064	280.973459059474	49.182799176027366	58.3783502682575	66.9561567415597	4.9073944091796875	Short	Short	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1671	2020-12-14 09:00:00+00:00	280.55999755859375	285.0	279.24359130859375	282.70001220703125	282.70001220703125	27242	280.45435784796064	281.1042655209697	281.35713753670893	53.413065206514126	65.97418404770487	64.4105200903157	5.104280744280134	Long	Long	Long	Long							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1672	2020-12-14 10:00:00+00:00	282.70001220703125	282.9599914550781	280.0	282.6000061035156	282.6000061035156	59759	280.53850091680596	281.3036975986425	281.6333305515549	53.19023028349069	73.05006081166913	65.80086504254383	4.9949951171875	Long	Long	Long	Long	Long	292.91	267.39	1699.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1673	2020-12-14 11:00:00+00:00	282.0	284.0	280.0	281.0	281.0	44217	280.55659892006844	281.26320458549014	281.4925904289871	49.62324949806687	73.78984369605784	70.93802951847728	5.016422816685268	Long	Short	Long	-	Long	291.99	267.02	1697.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1674	2020-12-14 12:00:00+00:00	282.6000061035156	284.0	281.0	283.29998779296875	283.29998779296875	26094	280.6641827974371	281.53477567982065	281.8942342876497	54.36121158255464	76.00222294630362	74.28070915134354	4.944994245256696	Long	Long	Long	Long							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1675	2020-12-14 13:00:00+00:00	283.29998779296875	285.0	279.0	280.7799987792969	280.7799987792969	27701	280.6687246006473	281.4341387597508	281.6466263969046	48.93115114553302	66.0642022481476	71.95208963016968	4.949986049107143	Short	Short	Long	-	Long	293.19	268.47	1699.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1676	2020-12-14 14:00:00+00:00	283.6000061035156	283.6000061035156	278.0	278.0	278.0	16431	280.56406873395525	280.97625359178403	280.8362649753702	43.74041368882843	52.33735140965863	64.80125886803661	4.9759368896484375	Short	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1677	2020-12-14 15:00:00+00:00	279.0	280.0	278.0	278.5459899902344	278.5459899902344	24097	280.4849283910643	280.6522184449108	280.32731497867337	44.975019415369786	25.814287183629318	48.071946947145186	4.762601579938616	Short	Short	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1678	2020-12-14 16:00:00+00:00	278.0	281.0	278.0	278.0	278.0	69245	280.3874802188657	280.29858931892267	279.81013387230155	43.93666987951359	9.09622176993981	29.082620121075923	4.405458722795759	Short	Short	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1679	2020-12-15 08:00:00+00:00	278.0	281.95001220703125	278.0	280.0	280.0	2494	280.3722849161651	280.258777409733	279.8523263451234	48.61645858517107	19.25195654400831	18.05415516585915	4.269744873046875	Long	Long	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1680	2020-12-15 09:00:00+00:00	282.29998779296875	283.2200012207031	281.0	281.5	281.5	26431	280.41650903709984	280.4242737551019	280.2184760462071	51.861959309809095	41.334462960677826	23.227547091541982	4.214030674525669	Long	Long	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1681	2020-12-15 10:00:00+00:00	281.0	283.2200012207031	279.0	279.0	279.0	68334	280.3609596630959	280.234370587755	279.9477035914944	46.581140921935365	49.70849933282336	36.7649729458365	4.074744088309152	Long	Short	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1682	2020-12-15 11:00:00+00:00	280.0	280.79998779296875	279.0	280.3999938964844	280.3999938964844	42257	280.36249041734646	280.2564536955856	280.04821254815886	49.67168887038971	53.02033552371811	48.02109927240644	3.9890289306640625	Long	Long	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1683	2020-12-15 12:00:00+00:00	280.0	280.3999938964844	279.0	279.5	279.5	52323	280.32866726372504	280.15559320284086	279.9263875374569	47.75878878271476	40.14255060852478	47.62379515502209	3.810457502092634	Short	Short	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1684	2020-12-15 13:00:00+00:00	280.0	280.0	277.1000061035156	277.1600036621094	277.1600036621094	25885	280.2044059460146	279.75618126407664	279.3116355651574	43.11017521503296	31.22693911513917	41.46327508246069	3.5575997488839284	Short	Short	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1685	2020-12-15 14:00:00+00:00	277.1000061035156	280.0	277.1000061035156	279.79998779296875	279.79998779296875	28569	280.1885464106011	279.7620221345956	279.4201582824488	49.12651619686109	30.43620825034672	33.935232658003564	3.353570120675223	Short	Long	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1686	2020-12-15 15:00:00+00:00	279.0	279.0	279.0	279.0	279.0	136803	280.14193674744024	279.6604191833162	279.326789775238	47.48764360138089	30.793635444345437	30.818927603277114	3.199284144810268	Short	Short	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1687	2020-12-15 16:00:00+00:00	279.0	280.0	278.0	279.0	279.0	209863	280.0971549142073	279.5723632922074	279.25416982518516	47.48764360138089	43.762717412605554	34.99752036909924	3.056427001953125	Long	Short	Short	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1688	2020-12-16 08:00:00+00:00	286.0	286.0	279.20001220703125	282.6000061035156	282.6000061035156	132746	280.19530594123904	279.97604900038186	279.9976889981475	55.274675746288885	59.27149726985356	44.60928337560153	3.3421412876674106	Long	Long	.	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1689	2020-12-16 09:00:00+00:00	282.6000061035156	287.7915954589844	280.1000061035156	284.0	284.0	97515	280.3445096298179	280.5125758003309	280.8870914430036	57.88987384391762	79.63574863492677	60.88998777246197	3.4629690987723216	Long	Long	Long	Long							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1690	2020-12-16 10:00:00+00:00	283.3999938964844	287.7915954589844	282.0	283.2650146484375	283.2650146484375	104447	280.4590392383912	280.87956764674516	281.41551882198894	56.03734132346787	95.8218982967414	78.24304806717392	3.476654052734375	Long	Long	Long	Long	Long	290.33	273.01	1697.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1691	2020-12-16 11:00:00+00:00	282.760009765625	284.0	282.0	283.5199890136719	283.5199890136719	44380	280.57907648448065	281.23162382900205	281.88317886458515	56.55672502083962	92.81518650792641	89.4242778131982	3.476654052734375	Long	Long	Long	Long	Long	289.71	272.33	1697.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
1692	2020-12-16 12:00:00+00:00	283.5199890136719	284.0	282.0	282.0	282.0	42291	280.6347989752853	281.33407398513515	281.90913911689955	52.569533466574654	80.81597842541704	89.81768774336162	3.4052254813058034	Short	Long	Long	-	Long	290.47	273.09	1697.0			166.12	0	0.0	0	0.0	0.0	0.0	166.12
